Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
C57BLM1,C57BLM1_P235_G3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P235,G3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM2,C57BLM2_P235_H3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P235,H3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM3,C57BLM3_P235_E4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P235,E4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF1,CBAF1_P235_E2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P235,E2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF2,CBAF2_P235_F1_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P235,F1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF3,CBAF3_P235_F2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P235,F2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM1,CBAM1_P235_E1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P235,E1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM2,CBAM2_P235_C1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P235,C1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM3,CBAM3_P235_D1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P235,D1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
202CC,202CC_P235_D8_CC002_FEMALE_1,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P235,D8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
208CC,208CC_P235_G6_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P235,G6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247CC,247CC_P235_A1_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P235,A1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
907CC,907CC_P235_B8_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P235,B8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
254CC,254CC_P235_A7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P235,A7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
937CC,937CC_P235_C5_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P235,C5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
938CC,938CC_P235_E6_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P235,E6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
251CC,251CC_P235_B7_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P235,B7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
934CC,934CC_P235_A10_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P235,A10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
226CC,226CC_P235_C4_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P235,C4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
253CC,253CC_P235_A2_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P235,A2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
942CC,942CC_P235_E5_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P235,E5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
213CC,213CC_P235_E8_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P235,E8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
235CC,235CC_P235_A3_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P235,A3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236CC,236CC_P235_B6_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P235,B6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
927CC,927CC_P235_D6_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P235,D6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
928CC,928CC_P235_G7_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P235,G7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
919CC,919CC_P235_H7_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P235,H7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
925CC,925CC_P235_H8_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P235,H8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
233CC,233CC_P235_B5_CC032_FEMALE_1,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P235,B5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
903CC,903CC_P235_D7_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P235,D7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
906CC,906CC_P235_G8_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P235,G8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
263CC,263CC_P235_D2_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P235,D2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
882CC,882CC_P235_D10_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P235,D10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
946CC,946CC_P235_C9_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P235,C9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
220CC,220CC_P235_C2_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P235,C2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
239CC,239CC_P235_B3_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P235,B3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
894CC,894CC_P235_C10_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P235,C10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
258CC,258CC_P235_H5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P235,H5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
951CC,951CC_P235_F5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P235,F5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
954CC,954CC_P235_F6_CC040_MALE_1,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P235,F6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
261CC,261CC_P235_G5_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P235,G5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
915CC,915CC_P235_A5_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P235,A5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
921CC,921CC_P235_A9_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P235,A9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
922CC,922CC_P235_B9_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P235,B9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
923CC,923CC_P235_B10_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P235,B10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
280CC,280CC_P235_H6_CC051_MALE_1,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P235,H6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
260CC,260CC_P235_E7_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P235,E7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
893CC,893CC_P235_D9_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P235,D9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
255CC,255CC_P235_F8_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P235,F8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
256CC,256CC_P235_B1_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P235,B1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
257CC,257CC_P235_B2_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P235,B2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F1,B6C3F1_P234_F4_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P234,F4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F2,B6C3F2_P234_E3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P234,E3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F3,B6C3F3_P234_F3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P234,F3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F1,B6C3F1_P260_F4_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P260,F4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F2,B6C3F2_P260_E3_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P260,E3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F3,B6C3F3_P260_F3_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P260,F3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M1,B6C3M1_P234_C3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P234,C3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M2,B6C3M2_P234_D4_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P234,D4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M3,B6C3M3_P234_D3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P234,D3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M1,B6C3M1_P260_C3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P260,C3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M2,B6C3M2_P260_D4_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P260,D4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
